,dt,dt_iso,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description,Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),Inj_code
3119,1644102000,2022-02-05 23:00:00 +0000 UTC,9.22,8.14,7.01,10.11,1029,80,2.18,0.895706,0,sky is clear,2022-02-05,23,0.0,0.581,0.0,None,3
3120,1644105600,2022-02-06 00:00:00 +0000 UTC,9.21,8.14,6.45,9.72,1029,82,2.16,0.895706,0,sky is clear,2022-02-06,0,0.0,0.59,0.0,None,3
3121,1644109200,2022-02-06 01:00:00 +0000 UTC,9.01,7.9,6.45,9.72,1029,84,2.17,0.895706,0,sky is clear,2022-02-06,1,0.0,0.367,0.0,None,3
3122,1644112800,2022-02-06 02:00:00 +0000 UTC,7.7,6.27,6.45,9.45,1029,86,2.28,0.895706,0,sky is clear,2022-02-06,2,0.0,0.352,0.0,None,3
3123,1644116400,2022-02-06 03:00:00 +0000 UTC,9.2,8.01,6.45,9.72,1029,86,2.31,0.895706,0,sky is clear,2022-02-06,3,0.0,0.333,0.0,None,3
3124,1644120000,2022-02-06 04:00:00 +0000 UTC,8.59,7.37,6.45,8.72,1029,86,2.22,0.895706,0,sky is clear,2022-02-06,4,0.0,0.285,0.0,None,3
3125,1644123600,2022-02-06 05:00:00 +0000 UTC,8.38,7.17,6.45,8.48,1029,60,2.16,0.895706,1,sky is clear,2022-02-06,5,0.0,0.281,0.0,None,3
3126,1644127200,2022-02-06 06:00:00 +0000 UTC,6.07,4.52,4.72,7.88,1030,87,2.1,0.895706,26,scattered clouds,2022-02-06,6,0.0,0.264,0.0,None,3
3142,1644184800,2022-02-06 22:00:00 +0000 UTC,9.06,8.12,7.72,11.22,1031,79,1.97,0.895706,54,broken clouds,2022-02-06,22,0.0,0.593,0.0,None,3
3143,1644188400,2022-02-06 23:00:00 +0000 UTC,7.74,6.48,5.72,10.57,1031,79,2.09,0.895706,42,scattered clouds,2022-02-06,23,0.0,0.537,0.0,None,3
3144,1644192000,2022-02-07 00:00:00 +0000 UTC,7.56,6.17,6.72,10.01,1031,79,2.2,0.895706,37,scattered clouds,2022-02-07,0,0.0,0.491,0.0,None,3
3145,1644195600,2022-02-07 01:00:00 +0000 UTC,6.22,4.56,4.72,10.01,1030,81,2.25,0.895706,14,few clouds,2022-02-07,1,0.0,0.344,0.0,None,3
3146,1644199200,2022-02-07 02:00:00 +0000 UTC,7.7,6.14,7.32,9.45,1031,81,2.45,0.895706,12,few clouds,2022-02-07,2,0.0,0.287,0.0,None,3
3147,1644202800,2022-02-07 03:00:00 +0000 UTC,6.85,5.09,6.45,8.34,1030,83,2.5,0.895706,12,few clouds,2022-02-07,3,0.0,0.429,0.0,None,3
3148,1644206400,2022-02-07 04:00:00 +0000 UTC,6.69,4.88,5.9,8.9,1030,84,2.53,0.895706,1,sky is clear,2022-02-07,4,0.0,0.275,0.0,None,3
3149,1644210000,2022-02-07 05:00:00 +0000 UTC,6.2,4.26,4.79,10.01,1030,87,2.58,0.895706,0,sky is clear,2022-02-07,5,0.0,0.251,0.0,None,3
3150,1644213600,2022-02-07 06:00:00 +0000 UTC,6.23,4.24,5.72,10.01,1030,88,2.65,0.895706,1,sky is clear,2022-02-07,6,0.0,0.239,0.0,None,3
3151,1644217200,2022-02-07 07:00:00 +0000 UTC,6.46,4.52,5.72,10.01,1030,89,2.64,0.895706,3,sky is clear,2022-02-07,7,0.0,1.498,0.0,None,3
3166,1644271200,2022-02-07 22:00:00 +0000 UTC,14.44,13.87,10.34,14.72,1028,74,2.43,0.895706,0,sky is clear,2022-02-07,22,0.0,0.597,0.0,None,3
3167,1644274800,2022-02-07 23:00:00 +0000 UTC,8.67,7.24,8.25,9.36,1028,73,2.51,0.895706,0,sky is clear,2022-02-07,23,0.0,0.379,0.0,None,3
3168,1644278400,2022-02-08 00:00:00 +0000 UTC,14.23,13.56,8.68,14.72,1028,71,2.56,0.895706,0,sky is clear,2022-02-08,0,0.0,0.343,0.0,None,3
3169,1644282000,2022-02-08 01:00:00 +0000 UTC,8.17,6.6,7.22,8.92,1028,69,2.57,0.895706,0,sky is clear,2022-02-08,1,0.0,0.366,0.0,None,3
3170,1644285600,2022-02-08 02:00:00 +0000 UTC,12.78,11.92,8.68,12.88,1028,69,2.62,0.895706,0,sky is clear,2022-02-08,2,0.0,0.422,0.0,None,3
3171,1644289200,2022-02-08 03:00:00 +0000 UTC,12.67,11.82,8.68,12.72,1028,70,2.74,0.895706,0,sky is clear,2022-02-08,3,0.0,0.263,0.0,None,3
3172,1644292800,2022-02-08 04:00:00 +0000 UTC,11.93,11.08,8.68,12.32,1028,73,3.02,0.895706,0,sky is clear,2022-02-08,4,0.0,0.26,0.0,None,3
3173,1644296400,2022-02-08 05:00:00 +0000 UTC,11.74,10.9,8.68,11.77,1027,74,3.37,0.895706,0,sky is clear,2022-02-08,5,0.0,0.24,0.0,None,3
3174,1644300000,2022-02-08 06:00:00 +0000 UTC,11.5,10.61,8.68,11.72,1027,73,3.49,0.895706,0,sky is clear,2022-02-08,6,0.0,0.213,0.0,None,3
3190,1644357600,2022-02-08 22:00:00 +0000 UTC,12.8,12.15,9.79,12.89,1027,77,1.79,0.895706,0,sky is clear,2022-02-08,22,0.0,0.719,0.0,None,3
3191,1644361200,2022-02-08 23:00:00 +0000 UTC,10.79,10.01,8.68,12.33,1028,80,1.91,0.895706,0,sky is clear,2022-02-08,23,0.0,0.422,0.0,None,3
3192,1644364800,2022-02-09 00:00:00 +0000 UTC,9.82,8.92,7.57,11.68,1027,79,2.08,0.895706,0,sky is clear,2022-02-09,0,0.0,0.388,0.0,None,3
3193,1644368400,2022-02-09 01:00:00 +0000 UTC,10.53,9.7,10.1,11.68,1028,79,2.2,0.895706,0,sky is clear,2022-02-09,1,0.0,0.35,0.0,None,3
3194,1644372000,2022-02-09 02:00:00 +0000 UTC,11.03,10.2,9.54,11.72,1028,77,2.31,0.895706,0,sky is clear,2022-02-09,2,0.0,0.323,0.0,None,3
3195,1644375600,2022-02-09 03:00:00 +0000 UTC,10.17,9.28,8.9,10.72,1027,78,2.39,0.895706,0,sky is clear,2022-02-09,3,0.0,0.248,0.0,None,3
3196,1644379200,2022-02-09 04:00:00 +0000 UTC,10.0,8.81,8.43,10.72,1027,80,2.52,0.895706,0,sky is clear,2022-02-09,4,0.0,0.363,0.0,None,3
3197,1644382800,2022-02-09 05:00:00 +0000 UTC,9.82,8.6,7.88,10.72,1027,80,2.51,0.895706,0,sky is clear,2022-02-09,5,0.0,0.312,0.0,None,3
3198,1644386400,2022-02-09 06:00:00 +0000 UTC,9.14,7.85,7.88,9.72,1028,82,2.43,0.895706,0,sky is clear,2022-02-09,6,0.0,0.286,0.0,None,3
3214,1644444000,2022-02-09 22:00:00 +0000 UTC,12.88,12.16,10.34,12.93,1028,74,1.77,0.895706,6,sky is clear,2022-02-09,22,0.0,0.672,0.0,None,3
3215,1644447600,2022-02-09 23:00:00 +0000 UTC,10.39,9.81,9.23,11.21,1028,89,1.79,0.895706,0,sky is clear,2022-02-09,23,0.0,0.521,0.0,None,3
3216,1644451200,2022-02-10 00:00:00 +0000 UTC,8.94,8.33,7.72,10.66,1028,92,1.6,0.895706,0,sky is clear,2022-02-10,0,0.0,0.962,0.0,None,3
3217,1644454800,2022-02-10 01:00:00 +0000 UTC,8.48,7.59,7.72,10.1,1028,93,1.82,0.895706,0,sky is clear,2022-02-10,1,0.0,1.007,0.0,None,3
3218,1644458400,2022-02-10 02:00:00 +0000 UTC,8.98,8.07,8.72,9.54,1027,93,1.92,0.895706,0,sky is clear,2022-02-10,2,0.0,0.445,0.0,None,3
3219,1644462000,2022-02-10 03:00:00 +0000 UTC,10.0,9.23,8.43,10.72,1027,91,1.95,0.895706,3,sky is clear,2022-02-10,3,0.0,0.427,0.0,None,3
3220,1644465600,2022-02-10 04:00:00 +0000 UTC,9.31,8.23,8.43,9.72,1027,91,2.2,0.895706,23,few clouds,2022-02-10,4,0.0,0.406,0.0,None,3
3221,1644469200,2022-02-10 05:00:00 +0000 UTC,9.82,8.75,7.88,10.72,1026,92,2.3,0.895706,43,scattered clouds,2022-02-10,5,0.0,0.405,0.0,None,3
3222,1644472800,2022-02-10 06:00:00 +0000 UTC,9.82,9.14,7.88,10.72,1027,92,1.82,0.895706,42,scattered clouds,2022-02-10,6,0.0,0.453,0.0,None,3
3238,1644530400,2022-02-10 22:00:00 +0000 UTC,12.3,11.62,10.34,13.44,1027,78,1.36,0.895706,42,scattered clouds,2022-02-10,22,0.0,0.63,0.0,None,3
3239,1644534000,2022-02-10 23:00:00 +0000 UTC,11.82,11.17,11.72,13.44,1028,81,1.51,0.895706,78,broken clouds,2022-02-10,23,0.0,0.403,0.0,None,3
3240,1644537600,2022-02-11 00:00:00 +0000 UTC,12.35,11.76,11.72,12.89,1027,81,1.83,0.895706,81,broken clouds,2022-02-11,0,0.0,0.334,0.0,None,3
3241,1644541200,2022-02-11 01:00:00 +0000 UTC,12.35,11.73,11.72,12.37,1027,80,1.55,0.895706,6,sky is clear,2022-02-11,1,0.0,0.334,0.0,None,3
3242,1644544800,2022-02-11 02:00:00 +0000 UTC,11.78,11.42,9.79,12.23,1027,92,1.32,0.895706,3,sky is clear,2022-02-11,2,0.0,0.388,0.0,None,3
3243,1644548400,2022-02-11 03:00:00 +0000 UTC,11.97,11.62,9.79,12.32,1026,92,1.07,0.895706,11,few clouds,2022-02-11,3,0.0,0.345,0.0,None,3
3244,1644552000,2022-02-11 04:00:00 +0000 UTC,12.78,12.2,9.79,12.93,1027,80,1.22,0.895706,10,sky is clear,2022-02-11,4,0.0,0.278,0.0,None,3
3245,1644555600,2022-02-11 05:00:00 +0000 UTC,12.27,11.69,9.79,12.37,1026,82,1.51,0.895706,11,few clouds,2022-02-11,5,0.0,0.237,0.0,None,3
3246,1644559200,2022-02-11 06:00:00 +0000 UTC,12.14,11.63,8.72,12.37,1026,85,2.01,0.895706,100,overcast clouds,2022-02-11,6,0.0,0.248,0.0,None,3
3262,1644616800,2022-02-11 22:00:00 +0000 UTC,12.28,11.86,10.72,12.37,1025,88,1.09,0.895706,99,overcast clouds,2022-02-11,22,0.0,0.352,0.0,None,3
3263,1644620400,2022-02-11 23:00:00 +0000 UTC,11.81,11.37,10.57,11.82,1025,89,0.94,0.895706,99,overcast clouds,2022-02-11,23,0.0,0.381,0.0,None,3
3264,1644624000,2022-02-12 00:00:00 +0000 UTC,12.2,11.8,9.72,12.37,1025,89,1.09,0.895706,99,overcast clouds,2022-02-12,0,0.0,0.447,0.0,None,3
3265,1644627600,2022-02-12 01:00:00 +0000 UTC,12.16,11.7,8.72,12.37,1024,87,0.62,0.895706,95,overcast clouds,2022-02-12,1,0.0,0.471,0.0,None,3
3266,1644631200,2022-02-12 02:00:00 +0000 UTC,11.63,11.17,8.72,11.82,1024,89,0.64,0.895706,79,broken clouds,2022-02-12,2,0.0,0.285,0.0,None,3
3267,1644634800,2022-02-12 03:00:00 +0000 UTC,11.1,10.59,8.72,11.26,1024,89,0.63,0.895706,28,scattered clouds,2022-02-12,3,0.0,0.256,0.0,None,3
3268,1644638400,2022-02-12 04:00:00 +0000 UTC,10.61,10.1,8.12,10.7,1023,91,0.86,0.895706,88,overcast clouds,2022-02-12,4,0.0,0.238,0.0,None,3
3269,1644642000,2022-02-12 05:00:00 +0000 UTC,10.16,9.63,9.54,10.72,1023,92,0.58,0.895706,100,overcast clouds,2022-02-12,5,0.0,0.298,0.0,None,3
3270,1644645600,2022-02-12 06:00:00 +0000 UTC,10.16,9.66,9.45,10.72,1023,93,1.03,0.895706,100,overcast clouds,2022-02-12,6,0.0,0.491,0.0,None,3
3271,1644649200,2022-02-12 07:00:00 +0000 UTC,10.16,9.66,9.45,10.72,1023,93,1.15,0.895706,100,overcast clouds,2022-02-12,7,0.0,1.655,0.0,None,3
3286,1644703200,2022-02-12 22:00:00 +0000 UTC,9.57,9.57,8.72,10.11,1024,90,0.63,0.895706,73,broken clouds,2022-02-12,22,0.0,0.635,0.0,None,3
3287,1644706800,2022-02-12 23:00:00 +0000 UTC,9.04,8.69,8.68,9.55,1023,90,1.38,0.895706,100,overcast clouds,2022-02-12,23,0.0,0.528,0.0,None,3
3288,1644710400,2022-02-13 00:00:00 +0000 UTC,8.51,8.51,8.12,9.55,1023,90,1.1,0.895706,100,overcast clouds,2022-02-13,0,0.0,0.464,0.0,None,3
3289,1644714000,2022-02-13 01:00:00 +0000 UTC,8.44,7.63,7.72,8.48,1023,92,1.73,0.895706,100,overcast clouds,2022-02-13,1,0.0,0.386,0.0,None,3
3290,1644717600,2022-02-13 02:00:00 +0000 UTC,8.47,7.68,7.01,8.72,1022,92,1.71,0.895706,100,overcast clouds,2022-02-13,2,0.0,0.305,0.0,None,3
3291,1644721200,2022-02-13 03:00:00 +0000 UTC,8.48,7.39,7.79,8.72,1022,92,2.04,0.895706,100,overcast clouds,2022-02-13,3,0.0,0.278,0.0,None,3
3292,1644724800,2022-02-13 04:00:00 +0000 UTC,8.42,7.06,6.45,8.48,1021,91,2.36,0.895706,100,overcast clouds,2022-02-13,4,0.0,0.29,0.0,None,3
3293,1644728400,2022-02-13 05:00:00 +0000 UTC,8.97,7.36,5.9,9.04,1020,91,2.87,0.895706,100,overcast clouds,2022-02-13,5,0.0,0.335,0.0,None,3
3294,1644732000,2022-02-13 06:00:00 +0000 UTC,8.47,6.44,7.32,8.72,1020,91,3.4,0.895706,98,overcast clouds,2022-02-13,6,0.0,0.265,0.0,None,3
3295,1644735600,2022-02-13 07:00:00 +0000 UTC,9.03,7.07,7.57,9.72,1019,90,3.48,0.895706,100,overcast clouds,2022-02-13,7,0.0,0.256,0.0,None,3
3310,1644789600,2022-02-13 22:00:00 +0000 UTC,9.12,7.61,8.68,10.72,1018,93,2.76,0.52,53,light rain,2022-02-13,22,0.0,0.662,0.0,None,3
3311,1644793200,2022-02-13 23:00:00 +0000 UTC,9.16,7.55,8.43,11.72,1019,93,2.93,0.52,60,light rain,2022-02-13,23,0.0,1.233,0.0,None,3
3312,1644796800,2022-02-14 00:00:00 +0000 UTC,8.48,6.81,8.12,9.45,1020,92,2.81,0.32,54,light rain,2022-02-14,0,0.0,1.858,0.0,None,3
3313,1644800400,2022-02-14 01:00:00 +0000 UTC,8.48,6.9,7.57,9.45,1020,92,2.68,0.34,58,light rain,2022-02-14,1,0.0,2.158,0.0,None,3
3314,1644804000,2022-02-14 02:00:00 +0000 UTC,7.99,6.95,7.01,8.9,1020,90,1.89,0.11,54,light rain,2022-02-14,2,0.0,0.473,0.0,None,3
3315,1644807600,2022-02-14 03:00:00 +0000 UTC,8.07,7.59,5.9,10.72,1020,90,1.38,0.11,41,light rain,2022-02-14,3,0.0,0.469,0.0,None,3
3316,1644811200,2022-02-14 04:00:00 +0000 UTC,8.06,7.35,5.9,10.72,1020,90,1.58,0.895706,39,scattered clouds,2022-02-14,4,0.0,0.476,0.0,None,3
3317,1644814800,2022-02-14 05:00:00 +0000 UTC,7.48,7.48,6.45,9.72,1020,91,1.23,0.895706,51,broken clouds,2022-02-14,5,0.0,0.476,0.0,None,3
3318,1644818400,2022-02-14 06:00:00 +0000 UTC,7.37,7.37,6.45,7.79,1021,90,1.2,0.895706,54,broken clouds,2022-02-14,6,0.0,0.458,0.0,None,3
3334,1644876000,2022-02-14 22:00:00 +0000 UTC,7.75,7.75,6.45,10.11,1028,95,1.19,0.895706,78,broken clouds,2022-02-14,22,0.0,0.406,0.0,None,3
3335,1644879600,2022-02-14 23:00:00 +0000 UTC,7.95,7.95,5.9,9.55,1029,87,0.77,0.895706,73,broken clouds,2022-02-14,23,0.0,0.372,0.0,None,3
3336,1644883200,2022-02-15 00:00:00 +0000 UTC,7.85,7.85,5.34,7.93,1029,89,1.12,0.895706,58,broken clouds,2022-02-15,0,0.0,0.447,0.0,None,3
3337,1644886800,2022-02-15 01:00:00 +0000 UTC,7.84,7.84,4.79,7.93,1029,88,1.24,0.895706,63,broken clouds,2022-02-15,1,0.0,0.498,0.0,None,3
3338,1644890400,2022-02-15 02:00:00 +0000 UTC,7.35,6.81,6.68,7.37,1029,90,1.35,0.895706,76,broken clouds,2022-02-15,2,0.0,0.421,0.0,None,3
3339,1644894000,2022-02-15 03:00:00 +0000 UTC,6.78,5.53,5.72,6.82,1030,92,1.91,0.895706,100,overcast clouds,2022-02-15,3,0.0,0.294,0.0,None,3
3340,1644897600,2022-02-15 04:00:00 +0000 UTC,7.33,5.58,3.12,7.72,1029,90,2.6,0.895706,98,overcast clouds,2022-02-15,4,0.0,0.291,0.0,None,3
3341,1644901200,2022-02-15 05:00:00 +0000 UTC,6.8,5.53,5.1,6.82,1030,91,1.93,0.895706,100,overcast clouds,2022-02-15,5,0.0,0.312,0.0,None,3
3342,1644904800,2022-02-15 06:00:00 +0000 UTC,6.71,5.49,3.12,6.82,1030,91,1.87,0.895706,95,overcast clouds,2022-02-15,6,0.0,0.312,0.0,None,3
3358,1644962400,2022-02-15 22:00:00 +0000 UTC,9.61,9.06,9.59,10.1,1031,92,1.64,0.895706,95,overcast clouds,2022-02-15,22,0.0,0.712,0.0,None,3
3359,1644966000,2022-02-15 23:00:00 +0000 UTC,10.12,9.59,9.45,10.15,1031,92,1.66,0.895706,100,overcast clouds,2022-02-15,23,0.0,0.53,0.0,None,3
3360,1644969600,2022-02-16 00:00:00 +0000 UTC,10.12,9.59,9.54,10.67,1031,92,1.67,0.895706,100,overcast clouds,2022-02-16,0,0.0,0.474,0.0,None,3
3361,1644973200,2022-02-16 01:00:00 +0000 UTC,10.15,9.62,9.45,10.72,1031,92,1.38,0.895706,100,overcast clouds,2022-02-16,1,0.0,0.498,0.0,None,3
3362,1644976800,2022-02-16 02:00:00 +0000 UTC,10.16,9.66,9.54,10.72,1031,93,1.74,0.895706,97,overcast clouds,2022-02-16,2,0.0,0.486,0.0,None,3
3363,1644980400,2022-02-16 03:00:00 +0000 UTC,10.66,10.21,9.54,10.72,1030,93,1.6,0.895706,100,overcast clouds,2022-02-16,3,0.0,0.474,0.0,None,3
3364,1644984000,2022-02-16 04:00:00 +0000 UTC,10.16,9.66,9.54,10.72,1030,93,1.94,0.895706,100,overcast clouds,2022-02-16,4,0.0,0.495,0.0,None,3
3365,1644987600,2022-02-16 05:00:00 +0000 UTC,10.66,10.24,9.54,10.9,1030,94,1.96,0.11,100,light rain,2022-02-16,5,0.0,0.492,0.0,None,3
3366,1644991200,2022-02-16 06:00:00 +0000 UTC,10.71,10.29,9.54,11.72,1031,94,2.0,0.15,100,light rain,2022-02-16,6,0.0,0.427,0.0,None,3
3367,1644994800,2022-02-16 07:00:00 +0000 UTC,10.71,10.29,9.54,11.72,1031,94,1.98,0.895706,100,overcast clouds,2022-02-16,7,0.0,0.796,0.0,None,3
3382,1645048800,2022-02-16 22:00:00 +0000 UTC,12.89,12.69,12.23,12.93,1031,94,1.34,0.895706,98,overcast clouds,2022-02-16,22,0.0,0.477,0.0,None,3
3383,1645052400,2022-02-16 23:00:00 +0000 UTC,12.92,12.72,12.23,12.93,1031,94,1.55,0.16,100,light rain,2022-02-16,23,0.0,0.507,0.0,None,3
3384,1645056000,2022-02-17 00:00:00 +0000 UTC,12.92,12.72,12.23,12.93,1031,94,1.65,0.895706,100,overcast clouds,2022-02-17,0,0.0,0.397,0.0,None,3
3385,1645059600,2022-02-17 01:00:00 +0000 UTC,12.88,12.68,11.77,13.12,1031,94,1.64,0.895706,100,overcast clouds,2022-02-17,1,0.0,0.412,0.0,None,3
3386,1645063200,2022-02-17 02:00:00 +0000 UTC,12.88,12.68,11.68,13.12,1031,94,1.62,0.895706,100,overcast clouds,2022-02-17,2,0.0,0.424,0.0,None,3
3387,1645066800,2022-02-17 03:00:00 +0000 UTC,11.81,11.5,11.68,12.01,1030,94,1.68,0.895706,100,overcast clouds,2022-02-17,3,0.0,0.419,0.0,None,3
3388,1645070400,2022-02-17 04:00:00 +0000 UTC,11.81,11.5,11.68,12.01,1030,94,1.44,0.11,100,light rain,2022-02-17,4,0.0,0.398,0.0,None,3
3389,1645074000,2022-02-17 05:00:00 +0000 UTC,11.8,11.49,11.21,11.82,1029,94,1.26,0.895706,99,overcast clouds,2022-02-17,5,0.0,0.334,0.0,None,3
3390,1645077600,2022-02-17 06:00:00 +0000 UTC,11.8,11.49,11.21,11.82,1029,94,1.29,0.895706,96,overcast clouds,2022-02-17,6,0.0,0.236,0.0,None,3
3391,1645081200,2022-02-17 07:00:00 +0000 UTC,11.79,11.48,11.12,11.82,1029,94,1.31,0.895706,98,overcast clouds,2022-02-17,7,0.0,1.02,0.0,None,3
3406,1645135200,2022-02-17 22:00:00 +0000 UTC,11.26,10.84,10.57,11.78,1024,92,0.79,0.895706,100,overcast clouds,2022-02-17,22,0.0,1.071,0.0,None,3
3407,1645138800,2022-02-17 23:00:00 +0000 UTC,11.21,10.79,10.34,11.26,1023,92,1.13,0.895706,97,overcast clouds,2022-02-17,23,0.0,0.932,0.0,None,3
3408,1645142400,2022-02-18 00:00:00 +0000 UTC,11.2,10.78,10.1,11.26,1023,92,1.74,0.895706,96,overcast clouds,2022-02-18,0,0.0,0.648,0.0,None,3
3409,1645146000,2022-02-18 01:00:00 +0000 UTC,11.71,11.34,10.1,11.82,1023,92,1.98,0.895706,100,overcast clouds,2022-02-18,1,0.0,0.564,0.0,None,3
3410,1645149600,2022-02-18 02:00:00 +0000 UTC,11.71,11.34,10.1,11.82,1022,92,2.07,0.895706,100,overcast clouds,2022-02-18,2,0.0,0.728,0.0,None,3
3411,1645153200,2022-02-18 03:00:00 +0000 UTC,11.73,11.33,10.66,11.82,1021,91,1.77,0.895706,98,overcast clouds,2022-02-18,3,0.0,0.437,0.0,None,3
3412,1645156800,2022-02-18 04:00:00 +0000 UTC,11.81,11.42,11.12,11.82,1021,91,1.78,0.895706,100,overcast clouds,2022-02-18,4,0.0,0.385,0.0,None,3
3413,1645160400,2022-02-18 05:00:00 +0000 UTC,11.26,10.84,10.57,11.72,1021,92,1.86,0.895706,100,overcast clouds,2022-02-18,5,0.0,0.382,0.0,None,3
3414,1645164000,2022-02-18 06:00:00 +0000 UTC,11.26,10.87,10.57,11.72,1021,93,1.71,0.895706,100,overcast clouds,2022-02-18,6,0.0,0.359,0.0,None,3
3430,1645221600,2022-02-18 22:00:00 +0000 UTC,9.02,6.61,8.34,9.04,1025,73,4.41,0.895706,88,overcast clouds,2022-02-18,22,0.0,0.838,0.0,None,3
3431,1645225200,2022-02-18 23:00:00 +0000 UTC,7.92,5.24,7.72,8.44,1025,74,4.43,0.895706,74,broken clouds,2022-02-18,23,0.0,1.196,0.0,None,3
3432,1645228800,2022-02-19 00:00:00 +0000 UTC,7.39,4.63,7.01,7.89,1025,77,4.34,0.895706,65,broken clouds,2022-02-19,0,0.0,0.466,0.0,None,3
3433,1645232400,2022-02-19 01:00:00 +0000 UTC,6.81,3.95,6.68,7.01,1026,78,4.26,0.895706,36,scattered clouds,2022-02-19,1,0.0,0.373,0.0,None,3
3434,1645236000,2022-02-19 02:00:00 +0000 UTC,7.3,4.65,6.12,7.37,1026,75,4.07,0.895706,23,few clouds,2022-02-19,2,0.0,0.443,0.0,None,3
3435,1645239600,2022-02-19 03:00:00 +0000 UTC,6.74,4.09,5.57,7.01,1025,76,3.83,0.895706,13,few clouds,2022-02-19,3,0.0,0.413,0.0,None,3
3436,1645243200,2022-02-19 04:00:00 +0000 UTC,6.73,4.28,5.57,7.01,1025,75,3.47,0.895706,3,sky is clear,2022-02-19,4,0.0,0.35,0.0,None,3
3437,1645246800,2022-02-19 05:00:00 +0000 UTC,6.2,3.75,5.1,7.01,1025,78,3.3,0.895706,0,sky is clear,2022-02-19,5,0.0,0.356,0.0,None,3
3438,1645250400,2022-02-19 06:00:00 +0000 UTC,4.92,2.14,4.72,6.45,1026,86,3.39,0.895706,0,sky is clear,2022-02-19,6,0.0,0.374,0.0,None,3
3454,1645308000,2022-02-19 22:00:00 +0000 UTC,8.64,6.92,7.57,9.0,1030,80,2.94,0.895706,0,sky is clear,2022-02-19,22,0.0,0.52,0.0,None,3
3455,1645311600,2022-02-19 23:00:00 +0000 UTC,7.56,5.74,6.72,8.44,1030,83,2.76,0.895706,26,scattered clouds,2022-02-19,23,0.0,0.992,0.0,None,3
3456,1645315200,2022-02-20 00:00:00 +0000 UTC,7.29,5.51,6.72,7.89,1031,85,2.64,0.895706,4,sky is clear,2022-02-20,0,0.0,1.267,0.0,None,3
3457,1645318800,2022-02-20 01:00:00 +0000 UTC,6.4,4.81,5.72,7.32,1030,86,2.2,0.895706,2,sky is clear,2022-02-20,1,0.0,0.577,0.0,None,3
3458,1645322400,2022-02-20 02:00:00 +0000 UTC,6.2,4.67,5.72,7.23,1030,89,2.1,0.895706,0,sky is clear,2022-02-20,2,0.0,0.508,0.0,None,3
3459,1645326000,2022-02-20 03:00:00 +0000 UTC,5.32,3.66,4.72,6.21,1030,90,2.08,0.895706,0,sky is clear,2022-02-20,3,0.0,0.398,0.0,None,3
3460,1645329600,2022-02-20 04:00:00 +0000 UTC,4.51,2.72,3.72,5.9,1030,90,2.07,0.895706,0,sky is clear,2022-02-20,4,0.0,0.417,0.0,None,3
3461,1645333200,2022-02-20 05:00:00 +0000 UTC,4.5,2.73,3.72,7.79,1030,92,2.05,0.895706,3,sky is clear,2022-02-20,5,0.0,0.398,0.0,None,3
3462,1645336800,2022-02-20 06:00:00 +0000 UTC,7.64,6.26,3.72,7.93,1031,79,2.21,0.895706,54,broken clouds,2022-02-20,6,0.0,2.182,0.0,None,3
3478,1645394400,2022-02-20 22:00:00 +0000 UTC,11.7,11.17,10.1,11.82,1031,86,1.8,0.895706,97,overcast clouds,2022-02-20,22,0.0,0.798,0.0,None,3
3479,1645398000,2022-02-20 23:00:00 +0000 UTC,10.14,9.53,9.45,10.15,1032,89,3.23,0.895706,93,overcast clouds,2022-02-20,23,0.0,0.691,0.0,None,3
3480,1645401600,2022-02-21 00:00:00 +0000 UTC,10.61,9.97,9.23,10.7,1032,86,2.63,0.895706,9,sky is clear,2022-02-21,0,0.0,0.619,0.0,None,3
3481,1645405200,2022-02-21 01:00:00 +0000 UTC,8.3,6.77,7.72,9.45,1032,92,2.55,0.895706,16,few clouds,2022-02-21,1,0.0,0.52,0.0,None,3
3482,1645408800,2022-02-21 02:00:00 +0000 UTC,9.47,8.45,7.72,9.59,1032,86,2.16,0.895706,21,few clouds,2022-02-21,2,0.0,0.431,0.0,None,3
3483,1645412400,2022-02-21 03:00:00 +0000 UTC,8.96,7.67,7.57,9.04,1032,85,2.39,0.895706,59,broken clouds,2022-02-21,3,0.0,0.401,0.0,None,3
3484,1645416000,2022-02-21 04:00:00 +0000 UTC,8.9,7.58,6.72,9.04,1031,86,2.42,0.895706,25,scattered clouds,2022-02-21,4,0.0,0.348,0.0,None,3
3485,1645419600,2022-02-21 05:00:00 +0000 UTC,8.38,6.73,6.72,8.48,1031,86,2.75,0.895706,36,scattered clouds,2022-02-21,5,0.0,0.353,0.0,None,3
3486,1645423200,2022-02-21 06:00:00 +0000 UTC,8.42,6.72,7.23,8.48,1031,87,2.84,0.895706,39,scattered clouds,2022-02-21,6,0.0,0.37,0.0,None,3
3502,1645480800,2022-02-21 22:00:00 +0000 UTC,11.2,10.52,9.72,13.44,1030,82,2.15,0.895706,24,few clouds,2022-02-21,22,0.0,0.974,0.0,None,3
3503,1645484400,2022-02-21 23:00:00 +0000 UTC,10.83,10.14,9.72,12.33,1030,83,2.32,0.895706,38,scattered clouds,2022-02-21,23,0.0,0.67,0.0,None,3
